type,income,unites
Half-size/compact,<20,0.5
One door,<20,2.8
"Two doors, top freezer",<20,13.7
"Two doors, bottom freezer",<20,1.1
"Two doors, side by side",<20,3.9
Three or more doors,<20,0
Do not use a refrigerator,<20,0.4
Half-size/compact,20-40,0.2
One door,20-40,2.8
"Two doors, top freezer",20-40,13.8
"Two doors, bottom freezer",20-40,2.2
"Two doors, side by side",20-40,7.7
Three or more doors,20-40,0.3
Do not use a refrigerator,20-40,0
Half-size/compact,40-60,0
One door,40-60,1.2
"Two doors, top freezer",40-60,9
"Two doors, bottom freezer",40-60,2
"Two doors, side by side",40-60,5.9
Three or more doors,40-60,0.3
Do not use a refrigerator,40-60,0
Half-size/compact,60-80,0
One door,60-80,1.3
"Two doors, top freezer",60-80,6
"Two doors, bottom freezer",60-80,2.3
"Two doors, side by side",60-80,5.4
Three or more doors,60-80,0.3
Do not use a refrigerator,60-80,0
Half-size/compact,80-100,0
One door,80-100,0.5
"Two doors, top freezer",80-100,2.9
"Two doors, bottom freezer",80-100,1.7
"Two doors, side by side",80-100,4.2
Three or more doors,80-100,0.4
Do not use a refrigerator,80-100,0
Half-size/compact,100-120,0
One door,100-120,0.4
"Two doors, top freezer",100-120,2.2
"Two doors, bottom freezer",100-120,2
"Two doors, side by side",100-120,3
Three or more doors,100-120,0.5
Do not use a refrigerator,100-120,0
Half-size/compact,120-140,0
One door,120-140,0.2
"Two doors, top freezer",120-140,1.3
"Two doors, bottom freezer",120-140,1.3
"Two doors, side by side",120-140,2.2
Three or more doors,120-140,0.2
Do not use a refrigerator,120-140,0
Half-size/compact,>140,0
One door,>140,0.2
"Two doors, top freezer",>140,2.5
"Two doors, bottom freezer",>140,2.7
"Two doors, side by side",>140,4.9
Three or more doors,>140,0.8
Do not use a refrigerator,>140,0